arm,size,pct,off_pps,tx,rx,loss_pct,lat_min_us,p50_us,p90_us,p99_us,p999_us,lat_n,skipped,hist_n,jitter_n,imissed,ierrors,oerrors
fsA_dpdk,512,5.00,119795,3617270,3607065,0.2821,93.051,96.000,96.000,98.000,104.000,55404,4,55404,26,0,0,0
fsA_dpdk,512,6.00,142674,4307486,4294541,0.3005,7.072,172.000,172.000,174.000,178.000,33231,5,33231,59,0,0,0
fsA_dpdk,512,8.00,190275,5743404,5726144,0.3005,95.106,172.000,172.000,174.000,178.000,44312,6,44312,18,0,0,0
fsA_dpdk,512,10.00,237876,7179513,7157339,0.3089,106.991,172.000,172.000,174.000,182.000,55393,7,55393,28,0,0,0
fsA_dpdk,512,12.00,284675,8592947,8565632,0.3179,92.273,96.000,96.000,98.000,104.000,44308,9,44308,17,0,0,0
fsA_dpdk,512,15.00,355892,10741046,10705153,0.3342,93.191,96.000,98.000,98.000,104.000,55374,11,55374,17,336,0,0
fsA_dpdk,512,20.00,617956,14303095,14252083,0.3567,107.400,172.000,172.000,174.000,178.000,55355,17,55355,14,468,0,0
fsA_dpdk,512,30.00,709806,21426755,21344420,0.3843,106.694,172.000,172.000,174.000,186.000,55337,27,55337,36,0,0,0
fsA_dpdk,1024,1.00,12155,367291,367111,0.0490,108.643,112.000,116.000,122.000,124.000,5627,0,5627,1,0,0,0
fsA_dpdk,1024,2.00,24373,735331,731703,0.4934,108.607,112.000,114.000,122.000,876.000,11167,2,11167,84,1985,0,0
fsA_dpdk,1024,3.00,36530,1102200,1099858,0.2125,108.509,112.000,114.000,120.000,2346.000,16873,1,16873,34,895,0,0
fsA_dpdk,1024,4.00,48685,1469232,1467136,0.1427,108.478,112.000,114.000,120.000,124.000,22509,1,22509,8,0,0,0
fsA_dpdk,1024,5.00,60840,1836522,1833738,0.1516,108.464,112.000,114.000,120.000,124.000,28133,1,28133,24,0,0,0
fsA_dpdk,1024,6.00,72995,2203747,2200255,0.1585,108.537,112.000,114.000,120.000,132.000,33759,1,33759,15,0,0,0
fsA_dpdk,1024,8.00,0,2938393,2933543,0.1651,108.442,112.000,114.000,118.000,124.000,45008,2,45008,18,0,0,0
fsA_dpdk,1024,10.00,121680,3672969,3666656,0.1719,108.352,112.000,114.000,118.000,136.000,56250,4,56250,42,0,0,0
fsA_dpdk,1024,12.00,144867,4373804,4365950,0.1796,111.412,200.000,204.000,206.000,214.000,33757,4,33757,14,0,0,0
fsA_dpdk,1024,15.00,181098,5467357,5455679,0.2136,110.065,200.000,202.000,206.000,222.000,42170,6,42170,41,1349,0,0
fsA_dpdk,1024,20.00,241372,7289738,7274989,0.2023,111.884,198.000,202.000,206.000,224.000,56231,9,56231,50,0,0,0
fsA_dpdk,1024,30.00,361296,10906564,10863427,0.3955,108.506,112.000,114.000,122.000,940.000,56113,13,56113,57,17479,0,0
fsA_dpdk,1280,1.00,9750,294756,294756,0.0000,116.032,126.000,126.000,128.000,130.000,4516,0,4516,3,0,0,0
fsA_dpdk,1280,2.00,19565,589447,589162,0.0484,115.778,126.000,126.000,128.000,128.000,9028,1,9028,1,0,0,0
fsA_dpdk,1280,3.00,29315,884269,883641,0.0710,116.075,126.000,126.000,128.000,132.000,13547,1,13547,11,0,0,0
fsA_dpdk,1280,4.00,39065,1178961,1177963,0.0847,115.961,126.000,126.000,128.000,138.000,18060,2,18060,7,0,0,0
fsA_dpdk,1280,5.00,48815,1473717,1472324,0.0945,115.689,126.000,126.000,128.000,132.000,22575,3,22575,12,0,0,0
fsA_dpdk,1280,6.00,74620,1768473,1766703,0.1001,115.855,126.000,126.000,128.000,130.000,27090,3,27090,3,0,0,0
fsA_dpdk,1280,8.00,78130,2357984,2355376,0.1106,115.762,124.000,126.000,128.000,146.000,36120,4,36120,25,0,0,0
fsA_dpdk,1280,10.00,97630,2947469,2944069,0.1154,114.368,124.000,126.000,128.000,130.000,45121,6,45121,13,0,0,0
fsA_dpdk,1280,12.00,117130,3536934,3532623,0.1219,115.732,124.000,126.000,128.000,132.000,54165,7,54165,28,0,0,0
fsA_dpdk,1280,15.00,145306,4387416,4381715,0.1299,122.990,222.000,224.000,226.000,246.000,33862,7,33862,21,0,0,0
fsA_dpdk,1280,20.00,193758,5849899,5841696,0.1402,122.122,222.000,224.000,226.000,248.000,45137,10,45137,28,0,0,0
fsA_dpdk,1280,30.00,289912,8752101,8737126,0.1711,115.711,126.000,126.000,128.000,2786.000,45103,21,45103,20,0,0,0
fsA_dpdk,1514,1.00,8320,249584,249455,0.0517,124.803,130.000,134.000,136.000,138.000,3824,0,3824,3,0,0,0
fsA_dpdk,1514,2.00,16510,499297,499032,0.0531,123.557,130.000,134.000,134.000,138.000,7649,0,7649,7,0,0,0
fsA_dpdk,1514,3.00,24830,748947,748538,0.0546,124.229,130.000,134.000,134.000,138.000,11475,0,11475,7,0,0,0
fsA_dpdk,1514,4.00,33085,998596,997941,0.0656,124.676,130.000,134.000,134.000,144.000,15300,0,15300,9,0,0,0
fsA_dpdk,1514,5.00,53755,1248310,1247393,0.0735,123.612,130.000,134.000,134.000,148.000,19126,0,19126,13,0,0,0
fsA_dpdk,1514,6.00,49595,1498025,1496823,0.0802,124.631,130.000,134.000,134.000,150.000,22953,0,22953,17,0,0,0
fsA_dpdk,1514,8.00,66170,1997322,1995561,0.0882,123.614,130.000,134.000,134.000,148.000,30597,2,30597,13,0,0,0
fsA_dpdk,1514,10.00,82745,2496682,2494349,0.0934,123.643,132.000,134.000,134.000,144.000,38247,1,38247,15,0,0,0
fsA_dpdk,1514,12.00,99228,2995976,2993017,0.0988,123.281,132.000,134.000,134.000,146.000,45891,2,45891,24,0,0,0
fsA_dpdk,1514,15.00,124020,3744838,3739935,0.1309,123.588,132.000,134.000,134.000,160.000,57275,4,57275,39,0,0,0
fsA_dpdk,1514,20.00,164088,4955056,4901853,1.0737,131.398,236.000,238.000,242.000,3150.000,38251,2,38251,40,0,0,0
fsA_dpdk,1514,30.00,246261,7432842,7344144,1.1933,147.274,236.000,238.000,244.000,3162.000,57335,7,57335,28,0,0,0
fsB_capio,64,1.00,156993,4743624,4719992,0.4982,147.471,270.000,272.000,272.000,520.000,36570,2,36570,103,4940,0,0
fsB_capio,64,2.00,313110,9457253,9409904,0.5007,141.162,196.000,196.000,198.000,216.000,48725,4,48725,50,0,0,0
fsB_capio,64,3.00,469025,14161154,14087695,0.5187,181.117,270.000,272.000,272.000,308.000,54787,6,54787,45,9531,0,0
fsB_capio,64,4.00,624969,18867741,15050550,20.2313,187.579,836.000,1212.000,1224.000,1224.000,15,3050,15,6,172,0,0
fsB_capio,64,5.00,0,23560666,15053592,36.1071,142.762,824.000,832.000,846.000,886.000,1258,4532,1258,36,0,0,0
fsB_capio,64,6.00,936225,28271966,15069680,46.6974,141.976,1286.000,1292.000,1292.000,1292.000,5,5130,5,2,0,0,0
fsB_capio,64,8.00,1247767,37676690,15057936,60.0338,180.319,830.000,840.000,884.000,890.000,359,5585,359,15,0,0,0
fsB_capio,64,10.00,2034570,47084507,15067064,68.0000,188.956,834.000,878.000,1288.000,1288.000,74,2923,74,16,408,0,0
fsB_capio,64,12.00,1870683,56522230,15051808,73.3701,198.078,828.000,832.000,1294.000,1294.000,71,5063,71,7,0,0,0
fsB_capio,64,15.00,2337922,70585047,15053440,78.6733,185.798,828.000,836.000,882.000,1294.000,2178,3046,2178,85,0,0,0
fsB_capio,64,20.00,3116698,94097878,15058224,83.9973,180.894,826.000,1230.000,1300.000,1300.000,70,4858,70,6,0,0,0
fsB_capio,64,30.00,4674101,141118730,15050640,89.3348,193.396,1286.000,1298.000,1302.000,1302.000,19,4520,19,6,0,0,0
fsB_capio,128,1.00,87880,2652735,2642716,0.3777,138.223,150.000,152.000,152.000,154.000,40637,1,40637,23,0,0,0
fsB_capio,128,2.00,174408,5264702,5243882,0.3955,167.873,274.000,274.000,276.000,278.000,40630,2,40630,34,0,0,0
fsB_capio,128,3.00,260871,7877253,7845411,0.4042,151.565,156.000,158.000,158.000,160.000,40633,2,40633,29,0,0,0
fsB_capio,128,4.00,466095,10502633,10459227,0.4133,168.715,220.000,220.000,222.000,226.000,54169,2,54169,23,0,0,0
fsB_capio,128,5.00,434330,13111282,13056298,0.4194,181.623,272.000,274.000,276.000,278.000,50782,2,50782,27,0,0,0
fsB_capio,128,6.00,520727,15721794,14893570,5.2680,195.976,820.000,854.000,858.000,858.000,156,6870,156,3,0,0,0
fsB_capio,128,8.00,693899,20951788,14893119,28.9172,188.003,190.000,190.000,190.000,190.000,2,4811,2,2,0,0,0
fsB_capio,128,10.00,867147,26179594,14907980,43.0550,201.607,828.000,836.000,1196.000,1196.000,35,4919,35,4,53,0,0
fsB_capio,128,12.00,1040059,31470364,14897927,52.6605,153.884,296.000,762.000,766.000,766.000,12,4293,12,11,65,0,0
fsB_capio,128,15.00,1299571,39269411,14911280,62.0283,196.821,198.000,840.000,840.000,840.000,3,4139,3,3,1240,0,0
