arm,size,pct,off_pps,tx,rx,loss_pct,lat_min_us,p50_us,p90_us,p99_us,p999_us,lat_n,skipped,hist_n,jitter_n,imissed,ierrors,oerrors
rawA_dpdk,512,100.00,2348800,46972154,46972154,0.0000,34.182,870.000,872.000,872.000,874.000,36666,0,36666,11,0,0,0
rawA_dpdk_30s,64,30.00,4674081,142045599,139989395,1.4476,5.103,28.000,30.000,228.000,328.000,58414,206,58414,312,1462961,0,0
rawA_dpdk_30s,64,35.00,5452656,164621918,163935886,0.4167,5.248,26.000,26.000,28.000,312.000,59158,108,59158,61,217897,0,0
rawA_dpdk_30s,64,40.00,6231410,188197983,186518294,0.8925,7.536,24.000,24.000,246.000,314.000,59085,136,59085,77,1058179,0,0
rawA_dpdk_30s,64,45.00,7009943,211637576,209882356,0.8294,18.371,82.000,84.000,310.000,314.000,58122,330,58122,19,26433,0,0
rawA_dpdk_30s,64,50.00,10456323,235198534,209004841,11.1368,24.099,84.000,86.000,312.000,314.000,50685,3916,50685,26,491217,0,0
rawA_dpdk_30s,64,60.00,8304103,249615240,209406637,16.1082,22.708,310.000,312.000,316.000,318.000,41710,7917,41710,17,27406,0,0
rawA_dpdk_30s,64,70.00,8304803,249642985,209047804,16.2613,5.319,310.000,312.000,316.000,318.000,41614,7919,41614,20,342745,0,0
rawA_dpdk_30s,64,80.00,8304209,249647056,209404982,16.1196,74.233,310.000,312.000,316.000,318.000,41374,8024,41374,23,32475,0,0
rawA_dpdk_30s,64,90.00,8303549,249627536,209362133,16.1302,74.378,310.000,312.000,316.000,318.000,41499,8005,41499,20,44673,0,0
rawA_dpdk_30s,64,100.00,8302258,249761901,209412818,16.1550,6.647,310.000,312.000,316.000,318.000,41637,7925,41637,22,33053,0,0
rawA_dpdk_30s,128,30.00,2597556,78421576,78320010,0.1295,16.809,28.000,30.000,30.000,310.000,58009,19,58009,46,22464,0,0
rawA_dpdk_30s,128,35.00,3030195,91481150,91291562,0.2072,17.466,32.000,34.000,34.000,310.000,59135,34,59135,29,89948,0,0
rawA_dpdk_30s,128,40.00,4258631,104542667,104419541,0.1178,18.303,32.000,34.000,34.000,312.000,58002,27,58002,26,3134,0,0
rawA_dpdk_30s,128,45.00,3895338,117606384,117330498,0.2346,16.839,28.000,30.000,30.000,312.000,58861,33,58861,27,116558,0,0
rawA_dpdk_30s,128,50.00,4328068,130669423,130423380,0.1883,17.541,30.000,30.000,30.000,312.000,59663,31,59663,17,59407,0,0
rawA_dpdk_30s,128,60.00,5193181,156787341,156484871,0.1929,17.395,26.000,26.000,28.000,312.000,59322,66,59322,13,13200,0,0
rawA_dpdk_30s,128,70.00,6058362,182907263,182433060,0.2593,10.830,22.000,24.000,26.000,312.000,59036,104,59036,23,7473,0,0
rawA_dpdk_30s,128,80.00,6923566,209027496,208140022,0.4246,19.221,28.000,32.000,310.000,314.000,58710,179,58710,21,12235,0,0
rawA_dpdk_30s,128,90.00,7788827,235145148,209277672,11.0006,10.850,84.000,86.000,312.000,314.000,47998,5175,47998,18,29956,0,0
rawA_dpdk_30s,128,100.00,8293885,249301951,209273911,16.0560,10.793,312.000,314.000,316.000,316.000,40685,8253,40685,10,9914,0,0
rawA_dpdk_30s,256,30.00,1376032,41544245,41541686,0.0062,21.798,34.000,34.000,34.000,456.000,58672,1,58672,19,2559,0,0
rawA_dpdk_30s,256,35.00,1605063,48457927,48457927,0.0000,21.715,34.000,34.000,34.000,452.000,57927,0,57927,11,0,0,0
rawA_dpdk_30s,256,40.00,1834078,55373411,55371191,0.0040,21.805,34.000,34.000,34.000,452.000,57375,1,57375,23,2220,0,0
rawA_dpdk_30s,256,45.00,2765355,62330725,62319169,0.0185,21.783,34.000,34.000,34.000,452.000,56984,3,56984,40,11556,0,0
rawA_dpdk_30s,256,50.00,2292216,69204082,69183480,0.0298,16.361,42.000,42.000,44.000,452.000,59742,3,59742,35,20380,0,0
rawA_dpdk_30s,256,60.00,2750175,83036009,82959819,0.0918,4.943,42.000,42.000,44.000,452.000,58613,5,58613,40,75789,0,0
rawA_dpdk_30s,256,70.00,3208245,96853901,96852787,0.0012,22.370,40.000,42.000,450.000,454.000,57933,0,57933,24,1114,0,0
rawA_dpdk_30s,256,80.00,3666363,110691666,110684286,0.0067,23.384,36.000,38.000,452.000,454.000,59339,2,59339,18,7380,0,0
rawA_dpdk_30s,256,90.00,4124357,124524291,124511081,0.0106,5.220,34.000,34.000,458.000,458.000,58683,3,58683,32,13210,0,0
rawA_dpdk_30s,256,100.00,4525846,136055890,136037782,0.0133,24.602,540.000,550.000,552.000,554.000,59016,3,59016,17,17224,0,0
rawA_dpdk_30s,512,30.00,709751,21426679,21426679,0.0000,34.167,56.000,56.000,58.000,868.000,55415,0,55415,21,0,0,0
rawA_dpdk_30s,512,35.00,1079140,24989176,24988776,0.0016,32.913,34.000,36.000,36.000,866.000,55414,1,55414,45,400,0,0
rawA_dpdk_30s,512,40.00,945972,28550904,28550214,0.0024,34.010,56.000,56.000,58.000,866.000,55414,1,55414,11,690,0,0
