"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","12357.88","0.078","0.024","0.031","0.031","0.039","595.455"
"GET","34818.94","0.025","0.016","0.031","0.031","0.031","1.503"
