"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","233100.23","0.034","0.024","0.039","0.039","0.047","0.159"
"GET","251572.33","0.045","0.032","0.047","0.055","0.055","1.879"
