"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","109649.12","0.047","0.024","0.047","0.055","0.063","0.143"
"GET","108695.65","0.047","0.024","0.047","0.055","0.063","0.151"
