"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","112107.62","0.045","0.016","0.047","0.055","0.055","0.135"
"GET","110375.27","0.045","0.016","0.047","0.055","0.055","0.279"
