"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","21233.68","0.310","0.048","0.071","0.095","0.119","633.343"
"GET","24402.15","0.636","0.064","0.071","0.087","0.095","559.103"
