"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","102880.66","0.047","0.016","0.047","0.055","0.063","0.119"
"GET","109409.20","0.044","0.024","0.047","0.055","0.055","0.151"
