"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","38255.55","0.021","0.016","0.023","0.031","0.031","0.535"
"GET","39184.95","0.020","0.016","0.023","0.023","0.031","1.039"
