"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","552486.19","0.217","0.072","0.223","0.231","0.247","0.983"
"GET","666666.62","0.173","0.056","0.191","0.223","0.231","0.263"
