"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","457665.91","0.204","0.056","0.215","0.287","0.327","1.423"
"GET","623052.94","0.159","0.056","0.159","0.223","0.255","0.447"
