"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","45004.50","0.154","0.024","0.047","0.055","0.063","664.063"
"GET","105932.20","0.048","0.024","0.055","0.055","0.063","0.207"
