"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","393700.78","0.036","0.032","0.039","0.039","0.039","0.119"
"GET","432900.41","0.030","0.024","0.031","0.039","0.039","0.071"
