"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","25050.10","0.034","0.016","0.023","0.031","0.031","488.447"
"GET","38255.55","0.021","0.016","0.023","0.031","0.031","0.087"
