"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","114155.25","1.107","0.152","0.335","0.351","0.375","606.719"
"GET","185185.17","0.677","0.080","0.255","0.271","0.287","663.551"
