"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","22092.12","4.138","0.088","0.455","0.527","2.055","632.831"
"GET","24853.98","4.518","0.104","0.359","0.535","1.943","617.471"
