"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","43066.32","0.020","0.016","0.023","0.023","0.023","2.591"
"GET","44130.62","0.020","0.016","0.023","0.023","0.023","0.279"
